       Radius (kpc)   Tb (K)          Tb-sigma T       Tb+sigma T
       3.6791852       2.2998681      -0.4616964       5.0614328
       3.6841850       1.9253019      -0.6294905       4.4800944
       3.6891851       1.4827734      -0.7291266       3.6946735
       3.6941853       1.4431813      -0.5442568       3.4306192
       3.6991851       1.8190572      -0.2678895       3.9060040
       3.7041852       2.2890639      -0.1076207       4.6857486
       3.7091851       2.4976008      -0.2297335       5.2249351
       3.7141852       2.3303754      -0.5425761       5.2033272
       3.7191851       2.1420796      -0.6456394       4.9297986
       3.7241852       2.4501376      -0.3758032       5.2760782
       3.7291851       3.2501557       0.0595839       6.4407272
       3.7341852       4.0246735       0.1465487       7.9027982
       3.7391851       4.5292606      -0.4569674       9.5154886
       3.7441852       4.9421020      -1.2211113      11.1053152
       3.7491851       5.0891581      -1.6193643      11.7976799
       3.7541852       4.6146684      -1.6421933      10.8715305
       3.7591851       3.8390214      -1.2616618       8.9397049
       3.7641852       3.2565773      -0.6331069       7.1462612
       3.7691851       2.8757973      -0.1995881       5.9511824
       3.7741852       2.6291907      -0.4800134       5.7383947
       3.7791851       2.7574420      -1.2237909       6.7386751
       3.7841852       3.2904990      -1.4399426       8.0209408
       3.7891850       3.6964040      -1.0341349       8.4269428
       3.7941852       3.8637969      -0.3269103       8.0545044
       3.7991850       4.2678137       0.6176798       7.9179478
       3.8041852       4.9585524       1.6205807       8.2965240
       3.8091850       5.4813786       2.2525134       8.7102432
       3.8141851       5.3838902       2.0642982       8.7034817
       3.8191850       4.6165338       1.3006279       7.9324398
       3.8241851       3.6708796       0.7319138       6.6098452
       3.8291852       3.1244013       0.6097443       5.6390581
       3.8341851       3.1080575       0.5787182       5.6373968
       3.8391852       3.4211514       0.4993248       6.3429780
       3.8441851       3.9040804       0.4270458       7.3811150
       3.8491852       4.3297396       0.3083377       8.3511410
       3.8541851       4.1895895      -0.1267943       8.5059738
       3.8591852       3.2357268      -0.8709068       7.3423605
       3.8641851       2.0184662      -1.3011155       5.3380480
       3.8691852       1.3311489      -1.0861545       3.7484522
       3.8741851       1.4400003      -0.5482363       3.4282370
       3.8791852       2.0230033       0.0781807       3.9678259
       3.8841851       2.6622591       0.5639751       4.7605429
       3.8891852       3.1819484       0.7781806       5.5857162
       3.8941851       3.4161925       0.7606103       6.0717745
       3.8991852       3.1931827       0.4709711       5.9153943
       3.9041851       2.7835269       0.1082811       5.4587727
       3.9091852       2.6868796      -0.1494932       5.5232525
       3.9141850       2.9169967      -0.2111733       6.0451670
       3.9191852       3.1629832      -0.1158299       6.4417963
       3.9241850       3.4177415       0.0073235       6.8281593
       3.9291852       3.8097875       0.1997931       7.4197817
       3.9341850       4.1716123       0.4853818       7.8578424
       3.9391851       4.2541580       0.6198623       7.8884535
       3.9441850       4.0033522       0.3933928       7.6133118
       3.9491851       3.6210167       0.0969353       7.1450982
       3.9541852       3.6100161       0.2130895       7.0069427
       3.9591851       4.3940768       0.6263442       8.1618099
