recno,Name,OName,RAJ2000,DEJ2000,plx,e_plx,pmX,e_pmX,pmY,e_pmY,VLSR,e_VLSR,Arm,Ref,SimbadName,dec,ra
102,G041.15-00.20,,19 07 14.3676,+07 13 18.025,0.125,0.018,-2.79,0.14,-5.85,0.16,60,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G041.15-00.20,7.221673611111111,286.809865
103,G041.22-00.19,,19 07 21.3772,+07 17 08.115,0.113,0.022,-2.82,0.13,-5.89,0.16,59,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G041.22-00.19,7.2855875,286.8390716666667
104,G042.03+00.19,,19 07 28.1834,+08 10 53.433,0.071,0.012,-2.4,0.09,-5.64,0.11,12,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G042.03+00.19,8.181509166666666,286.86743083333334
105,G043.03-00.45,,19 11 38.9819,+08 46 30.665,0.13,0.019,-3.03,0.15,-6.56,0.2,56,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G043.03-00.45,8.775184722222223,287.91242458333335
106,G043.16+00.01,W49N,19 10 13.4100,+09 06 12.800,0.09,0.007,-2.88,0.2,-5.41,0.2,10,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G043.16+00.01,9.103555555555555,287.555875
107,G043.79-00.12,OH43.8-0.1,19 11 53.9868,+09 35 50.325,0.166,0.01,-3.02,0.36,-6.2,0.36,44,10,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G043.79-00.12,9.5973125,287.974945
108,G043.89-00.78,,19 14 26.3906,+09 22 36.568,0.134,0.013,-3.11,0.15,-5.35,0.21,52,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G043.89-00.78,9.376824444444445,288.6099608333334
109,G045.07+00.13,,19 13 22.0427,+10 50 53.336,0.129,0.007,-3.21,0.26,-6.11,0.26,59,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G045.07+00.13,10.84814888888889,288.34184458333334
110,G045.45+00.06,,19 14 21.2658,+11 09 15.872,0.119,0.017,-2.34,0.38,-6.0,0.54,55,7,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G045.45+00.06,11.154408888888891,288.5886075
111,G045.49+00.12,,19 14 11.3553,+11 13 06.370,0.144,0.024,-2.62,0.17,-5.61,0.16,58,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G045.49+00.12,11.218436111111112,288.54731375
